t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
3.752,-81.870008369,25.4176925929,46.4372164706,2.5307487095,10.6442645692,-0.7014683924,0.0855057005,0.0735,-0.0496068992
3.76,-87.3744790833,26.275837598,49.3172491602,2.6471307666,11.3695680619,-0.4712771526,0.0855057005,0.0735,-0.0496068992
3.768,-84.4344129407,26.9196190006,49.1635559484,2.7292908937,11.019832268,-0.44060932,0.0855057005,0.0735,-0.0496068992
3.776,-82.6199980921,28.5348693476,47.5985066667,2.7029544146,10.7850378245,-0.3967020874,0.0855057005,0.0735,-0.0496068992
3.784,-85.7655184988,27.9053416764,48.287854932,2.6293894192,11.1611296271,-0.0241931254,0.0855057005,0.0735,-0.0496068992
3.792,-89.0610115808,26.4186417726,46.8859183274,2.5074357261,11.5584929806,-0.0914310073,0.0855057005,0.0735,-0.0496068992
3.8,-85.4698797077,23.5445377571,43.2994285667,2.3607718227,11.0758684424,0.0718497628,0.0855057005,0.0735,-0.0496068992
3.808,-85.8455769845,25.4436581046,43.5313876427,2.4985339953,11.1140167781,0.0678729559,0.0855057005,0.0735,-0.0496068992
3.816,-84.5775312244,26.4649309133,44.2180155877,2.5657559794,10.9402554313,-0.1492762036,0.0855057005,0.0735,-0.0496068992
3.824,-82.8936502791,29.1917957204,44.584581841,2.8068568625,10.7116047741,-0.2998988368,0.0855057005,0.0735,-0.0496068992
3.832,-85.30234075,30.6289443826,44.2001718174,2.9117594224,11.0165971012,-0.5248491672,0.0855057005,0.0735,-0.0496068992
3.84,-86.6680171147,33.7048332242,44.7433484289,3.2995539615,11.1794828503,-0.7788482468,0.0855057005,0.0735,-0.0496068992
3.848,-84.6843667134,34.0215914458,43.7875689204,3.291610536,10.9022651998,-1.0316466761,0.0855057005,0.0735,-0.0496068992
3.856,-82.121206633,33.4232073388,41.6935859553,3.2214895048,10.5456635667,-1.1417097935,0.0855057005,0.0735,-0.0496068992
3.864,-76.089228121,32.5837101928,39.4325778614,3.1721071802,9.7729119488,-1.1624206074,0.0855057005,0.0735,-0.0496068992
3.872,-75.5822737735,32.2978760406,38.3424706019,3.3038221328,9.7163919567,-1.1100924862,0.0855057005,0.0735,-0.0496068992
3.88,-70.6526080111,30.5856381988,35.4276745212,3.2619749965,9.0849799878,-0.675042188,0.0855057005,0.0735,-0.0496068992
3.888,-65.4594227106,27.8614574299,31.8761750217,2.9491277856,8.44162857,-0.3475454969,0.0855057005,0.0735,-0.0496068992
3.896,-53.8711460954,24.2992838488,27.3272965792,2.515283253,6.9599023908,-0.3335200841,0.0855057005,0.0735,-0.0496068992
3.904,-46.1482485471,20.6982702004,21.2939713993,2.1296563221,5.9653672624,-0.4051628221,0.0855057005,0.0735,-0.0496068992
3.912,-45.0298556336,23.0809576954,18.1510662317,2.7161542199,5.8046082488,-0.2051386063,0.0855057005,0.0735,-0.0496068992
3.92,-41.4748610708,14.2355899729,18.0665721818,1.5994636371,5.2887054129,0.0443940408,0.0855057005,0.0735,-0.0496068992
3.928,-41.366434886,12.5730155926,16.199453696,1.5410093597,5.3093369516,0.2413851856,0.0855057005,0.0735,-0.0496068992
3.936,-42.2426298033,12.5571659751,13.9924708327,1.6660136966,5.4423904952,0.233424046,0.0855057005,0.0735,-0.0496068992
3.944,-45.3550074508,13.3544788392,13.6594650801,1.8412563591,5.8295005206,0.2635933345,0.0855057005,0.0735,-0.0496068992
3.952,-43.6757841031,13.9946968632,12.1683405014,2.1013036423,5.6115913112,0.3557775402,0.0855057005,0.0735,-0.0496068992
3.96,-39.520048412,15.6567535755,11.6660677909,2.38706276,5.0615393332,0.4654378256,0.0855057005,0.0735,-0.0496068992
3.968,-44.1369255556,12.2597500942,9.1280830706,2.1271263081,5.6795575382,0.6613826341,0.0855057005,0.0735,-0.0496068992
3.976,-44.8784497129,10.9573111831,9.103791491,1.9734632435,5.7821731119,0.6971082186,0.0855057005,0.0735,-0.0496068992
3.984,-47.0478410474,11.4627482385,10.844912248,1.9171415087,6.0119525191,0.4620037098,0.0855057005,0.0735,-0.0496068992
3.992,-50.8598824896,12.2247892928,10.9018233708,1.9411189641,6.5113062327,0.1082138641,0.0855057005,0.0735,-0.0496068992
4,-53.8808307129,10.4171329687,10.6799592257,1.6910421358,6.8750026289,-0.0472172779,0.0855057005,0.0735,-0.0496068992
4.008,-51.7436614424,8.3711939894,11.3700510256,1.371557344,6.5464905143,-0.1496303055,0.0855057005,0.0735,-0.0496068992
4.016,-51.1597978428,5.892966012,10.636729123,1.028041692,6.4351542572,-0.0765780843,0.0855057005,0.0735,-0.0496068992
4.024,-48.3629696198,4.7069938979,11.3199062663,0.8130936157,6.0304338489,-0.0640273948,0.0855057005,0.0735,-0.0496068992
4.032,-40.0156243506,4.6536405749,10.9484160021,0.9604167146,4.9960787769,0.1065211039,0.0855057005,0.0735,-0.0496068992
4.04,-38.676743364,4.5227934086,9.5873983182,0.8363898438,4.8436819256,0.0068282197,0.0855057005,0.0735,-0.0496068992
4.048,-40.0923521583,4.9876359441,8.9102778006,0.8208447659,5.0434167791,-0.0913905511,0.0855057005,0.0735,-0.0496068992
4.056,-37.3902863671,4.6094839912,7.5491950573,0.8020090672,4.7371137509,-0.0091539519,0.0855057005,0.0735,-0.0496068992
4.064,-37.2205974255,2.6007446719,6.6095405381,0.5299402023,4.7348144062,-0.1234287522,0.0855057005,0.0735,-0.0496068992
4.072,-35.8863930666,1.9420948676,6.6888256771,0.5048771999,4.5899050073,-0.0383910855,0.0855057004,0.0735,-0.0496068992
4.08,-36.2546403062,2.7126559046,6.3913377934,0.644333507,4.6317403323,-0.1374905833,0.0855057004,0.0735,-0.0496068992
4.088,-34.8452096781,2.8545688308,7.4701588263,0.6220401315,4.3793225564,0.1216681722,0.0855057004,0.0735,-0.0496068992
4.096,-34.980380096,2.8125853819,7.6703077669,0.6081008923,4.3879991675,-0.0394253272,0.0855057004,0.0735,-0.0496068992
4.104,-37.8315452208,1.4109868373,7.958541082,0.4246579413,4.6927615238,-0.0744835966,0.0855057004,0.0735,-0.0496068992
4.112,-40.5685962809,-0.3591107126,9.0256770455,0.149039454,4.9868726984,-0.0099548467,0.0855057004,0.0735,-0.0496068992
4.12,-38.7391202907,1.186747819,9.603110302,0.2745347522,4.7624438335,-0.197778004,0.0855057004,0.0735,-0.0496068992
