"id","type","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
221,1,0,0,0,1.3037e-05,6.9352e-05,2.8942e-06,-0.0014393,-0.0026038,0.0012501,0.0075,-0.0091948,0.0016603,0.0043257,0.046481,0.0051453,-0.2375
1123,1,0,0,0,4.5001e-05,4.933e-05,2.2085e-06,-0.0097933,-0.0043183,0.0025756,0.0075,-0.006617,0.0059934,-0.0084354,0.06119,0.002023,-0.2375
997,1,0,0,0,5.8789e-05,9.0085e-05,3.4813e-06,-0.00039372,-0.00013335,0.00031264,0.0075,-0.011991,0.0075186,0.0049334,0.079238,0.0011603,-0.2375
311,1,0,0,0,7.1514e-05,3.1234e-05,3.2317e-06,-0.0062435,0.0024335,-0.001482,0.0075,-0.0042393,0.0095358,0.0048901,0.11581,0.0071697,-0.2375
1333,1,0,0,0,-4.6293e-05,2.5708e-05,1.3772e-05,0.019976,-0.0060612,0.00135,0.0075,-0.0026773,-0.0060894,-0.001188,0.13255,0.00949,-0.2375
1138,1,0,0,0,1.2219e-05,-2.9467e-06,-6.0751e-07,-0.0016465,-0.0029611,0.0010864,0.0075,0.00040528,0.0016898,0.0035973,-0.095955,0.024479,-0.2375
1365,1,0,0,0,-7.4343e-06,2.0166e-05,1.0514e-06,-0.0009309,0.0075678,0.0033983,0.0075,-0.0026322,-0.00086901,-0.00062522,-0.079889,0.027666,-0.2375
1112,1,0,0,0,0.00022761,-0.00011672,2.1658e-05,0.00024141,-0.014973,0.00060519,0.0075,0.015686,0.028952,0.060614,-0.053183,0.01337,-0.2375
780,1,0,0,0,-3.5685e-05,-7.3934e-05,-3.5221e-05,-0.0059874,-6.7137e-05,-0.0077651,0.0075,-0.0016415,0.00438,-0.014182,-0.052649,0.027352,-0.2321
119,1,0,0,0,-8.0259e-05,-7.8137e-05,-1.2649e-12,1.7136e-18,1.7183e-18,0,0.0075,0.010419,-0.010701,0.0088665,-0.032621,0.021374,-0.2375
1756,1,0,0,0,-6.7671e-05,3.4698e-05,1.9781e-06,0.0018345,0.0051547,-0.015572,0.0075,-0.0043196,-0.0080392,-0.0015203,-0.01867,0.013136,-0.2375
123,1,0,0,0,4.3581e-05,-1.5848e-05,-8.6801e-07,-0.018566,-0.010007,0.024698,0.0075,0.002238,0.0058006,-0.01385,-0.012471,0.026793,-0.2375
864,1,0,0,0,-2.7953e-05,4.9475e-05,-3.2905e-07,1.7162e-05,0.00014475,0.0003315,0.0075,-0.0066216,-0.0037522,-0.0025886,0.0025025,0.02485,-0.2375
1154,1,0,0,0,4.2545e-06,5.6627e-05,2.0144e-07,0.003201,0.0055083,0.00089356,0.0075,-0.0074283,0.00054211,-0.0012441,0.042035,0.027286,-0.2375
381,1,0,0,0,1.2028e-05,7.2651e-05,4.2278e-06,-0.0034815,-0.0030324,-0.0013365,0.0075,-0.010006,0.0016036,0.0031392,0.055636,0.02096,-0.2375
1543,1,0,0,0,-6.6576e-06,4.9e-05,-2.3278e-07,2.1201e-05,-0.00015265,8.0944e-05,0.0075,-0.0065848,-0.00090882,0.0048121,0.071177,0.01381,-0.2375
1364,1,0,0,0,7.7459e-05,6.3413e-05,5.5809e-06,-0.0011162,-0.0073192,0.0028145,0.0075,-0.0088521,0.010093,0.0085991,0.09425,0.014537,-0.2375
672,1,0,0,0,-4.0996e-06,-5.9703e-07,2.5602e-06,-0.00084425,0.0045809,-0.0034884,0.0075,0.00023728,-0.00035354,0.006218,0.11022,0.021088,-0.2375
411,1,0,0,0,0.00036902,-0.00010817,-7.5672e-13,5.668e-18,4.2323e-20,0,0.0075,0.014423,0.049204,0.12907,0.14044,0.022798,-0.2375
1140,1,0,0,0,1.0742e-05,-1.2189e-05,-2.1677e-07,-0.0013236,-0.0030552,-0.0013968,0.0075,0.0016534,0.0014146,-0.0041222,-0.091063,0.040334,-0.2375
1799,1,0,0,0,-4.5987e-06,1.0523e-05,-1.8741e-06,-0.0016398,0.01869,0.01197,0.0075,-0.0012412,-0.00020422,-0.0009834,-0.065675,0.032457,-0.2375
1323,1,0,0,0,-2.2172e-05,-7.2684e-05,-5.1486e-06,-0.029923,-0.011139,0.018684,0.0075,0.010419,-0.0031595,0.010906,-0.040556,0.034387,-0.23751
1610,1,0,0,0,0.00022983,2.4143e-05,-7.9198e-14,3.4011e-18,2.0519e-19,0,0.0075,-0.0032191,0.030644,-0.03064,-0.025017,0.03719,-0.2375
1231,1,0,0,0,8.4755e-05,-8.7024e-06,-2.7312e-05,0.018057,-0.022736,0.012055,0.0075,-0.0047554,0.0091033,0.01425,-0.011258,0.040656,-0.23192
48,1,0,0,0,6.6152e-05,3.9044e-05,-8.799e-07,0.030943,-0.0066197,-0.0053153,0.0075,-0.0053003,0.0087997,-0.028394,0.0054205,0.039563,-0.23751
513,1,0,0,0,6.126e-07,-2.8997e-06,-1.7221e-06,0.012196,-0.012825,0.0089475,0.0075,0.00032844,-1.19e-05,0.00093621,0.022383,0.028504,-0.2375
1227,1,0,0,0,2.6642e-05,1.9738e-05,1.1484e-06,-0.005265,-0.015556,0.0054483,0.0075,-0.0026191,0.0035132,0.0043918,0.039705,0.042173,-0.2375
1033,1,0,0,0,2.7421e-05,4.5171e-05,2.56e-06,0.014453,-0.00022659,-0.0020864,0.0075,-0.0061019,0.0036555,0.00038304,0.057072,0.037263,-0.2375
35,1,0,0,0,-1.6851e-05,5.0097e-05,3.0937e-06,-0.0014446,0.0073802,0.00040193,0.0075,-0.0067384,-0.0022958,0.0089965,0.072104,0.028781,-0.2375
502,1,0,0,0,3.8855e-05,2.6043e-05,1.8392e-06,0.011286,-0.0082744,-4.7003e-05,0.0075,-0.0036549,0.0054833,-0.0013695,0.089251,0.028797,-0.2375
