t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
5.784,-24.3696842094,4.3956084321,7.8659401599,0.5365980475,3.1417365142,-0.2668306845,0.1525513288,0.0735,-0.0501495999
5.792,-22.2073351773,2.8805221256,4.5310833267,0.3339160105,2.8025099634,-0.1780962566,0.1525513291,0.0735,-0.0501495998
5.8,-19.1025587465,1.7914943655,3.9181312311,0.2287707414,2.4177178575,-0.1870260165,0.1525513293,0.0735,-0.0501495998
5.808,-26.9771360063,1.2161026693,4.0684590255,0.1093483656,3.3571229418,-0.2334045368,0.1525513322,0.0735,-0.0501495993
5.816,-34.7792311804,0.8863611293,8.6958496011,0.0723002602,4.4611567048,-0.4716378024,0.1525513377,0.0735,-0.0501495983
5.824,-40.5481602204,0.1904673825,11.8158768709,-0.1022179754,5.2062797441,-0.5883190241,0.1525513432,0.0735,-0.0501495974
5.832,-48.6020268909,0.623382922,14.9083636208,-0.0707738194,6.3114632532,-0.5750433907,0.1525513487,0.0735,-0.0501495964
5.84,-53.5122337801,1.5243217955,13.9182758246,0.1269214735,6.9794110804,-0.502272463,0.1525513542,0.0735,-0.0501495954
5.848,-53.6661341955,1.7575389022,17.7115229999,0.1824994244,7.0430082111,-0.4374154431,0.1525513597,0.0735,-0.0501495944
5.856,-50.1403632014,2.8348278855,14.4805523875,0.5297329025,6.5364848364,-0.2811047897,0.1525513652,0.0735,-0.0501495934
5.864,-50.2830012386,2.8168685979,14.6747566644,0.5738723926,6.5300713924,-0.2733979281,0.1525513706,0.0735,-0.0501495924
5.872,-53.0801566453,4.3028809072,15.9665900693,0.7116378416,6.913017918,-0.3398264429,0.1525513761,0.0735,-0.0501495914
5.88,-54.9565401798,4.3503333594,16.5487339902,0.738668792,7.1747699032,-0.2751813397,0.1525513816,0.0735,-0.0501495904
5.888,-58.0389865508,3.0290482579,17.8189276417,0.5305200138,7.6124342046,-0.3010233871,0.1525513871,0.0735,-0.0501495894
5.896,-61.6383424181,0.6446791361,18.1887058554,0.2251266713,8.0616509997,-0.2153429174,0.1525513926,0.0735,-0.0501495883
5.904,-65.0731698633,0.1169829459,16.6669185507,0.0738952428,8.4745219021,-0.1539961044,0.1525513994,0.0735,-0.050149587
5.912,-74.0658124943,-0.0646175574,19.5778226923,0.0249118238,9.6853582267,-0.1540896101,0.1525514076,0.0735,-0.0501495854
5.92,-72.6795007057,-0.2448440423,21.1735005023,-0.0544050609,9.5405134178,-0.2710742663,0.1525514158,0.0735,-0.0501495838
5.928,-69.1230230058,-0.6003729703,21.8097602786,-0.1264859258,9.1340872,-0.3514651378,0.152551424,0.0735,-0.0501495821
5.936,-68.0461900934,-2.5188515289,22.2327029649,-0.3525608023,8.9523410416,-0.3108928137,0.1525514322,0.0735,-0.0501495804
5.944,-64.3005303126,-2.0254774523,19.7739155503,-0.2441819432,8.4344288515,-0.2527811569,0.1525514404,0.0735,-0.0501495787
5.952,-64.7113719014,-1.3597296261,20.9596849252,-0.203277025,8.5227470073,-0.2935564045,0.1525514486,0.0735,-0.050149577
5.96,-65.5669240384,0.0478640889,24.0495933508,-0.0639915522,8.6543481992,-0.4440294339,0.1525514567,0.0735,-0.0501495753
5.968,-68.7667768074,2.0200995473,24.4329558608,0.0825634701,9.0471925152,-0.335423411,0.1525514649,0.0735,-0.0501495735
5.976,-71.0755415936,1.5374218768,25.2673230359,0.0011822723,9.2938557852,-0.250228613,0.1525514731,0.0735,-0.0501495718
5.984,-71.8865982406,0.45576266,25.0593434274,-0.0988221878,9.399158288,-0.0397568616,0.1525514812,0.0735,-0.05014957
5.992,-71.1204904901,-1.3412408109,25.7202221441,-0.2524489394,9.2905865289,0.1279535188,0.1525514894,0.0735,-0.0501495681
6,-69.5131552577,-3.8539172579,25.8176593394,-0.4891286781,9.0797189665,0.3166562487,0.1525514975,0.0735,-0.0501495663
6.008,-63.4976542015,-5.0271568474,18.7167291378,-0.6624920707,8.2803371666,0.3476338716,0.152551506,0.0735,-0.0501495644
6.016,-70.4987914851,-3.7786262086,20.1181148185,-0.4005174141,9.2150446238,0.2711993482,0.1525515146,0.0735,-0.0501495624
6.024,-75.2974793239,-1.0533460094,18.0768607177,0.0620717003,9.7992658023,0.152374371,0.1525515233,0.0735,-0.0501495603
6.032,-76.149639571,-0.6111259878,19.0079716697,0.124623037,9.8999057784,0.1131686272,0.152551532,0.0735,-0.0501495583
6.04,-77.0704809982,1.4726893111,18.1920991217,0.376545914,9.9940250833,-0.0225723911,0.1525515406,0.0735,-0.0501495562
6.048,-74.821512666,1.802937567,19.405003054,0.4008099373,9.6467140322,-0.0692846889,0.1525515493,0.0735,-0.0501495541
