t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
6.792,-22.5249767309,0.4020592749,-17.316493161,0.0071860471,3.2486617365,0.0381026611,0.1151378692,0.0735,-0.0449028779
6.8,-22.0152803594,1.3760301604,-17.2791556526,0.1346044813,3.1917771349,0.0889443472,0.1151378597,0.0735,-0.0449028639
6.808,-20.7742343458,1.221609745,-16.9249086804,0.1567960201,3.0081522586,0.029294086,0.1151378501,0.0735,-0.0449028499
6.816,-20.8274073467,1.0583299769,-17.2619213022,0.1202994822,3.0457406312,0.0847022662,0.1151378404,0.0735,-0.044902836
6.824,-20.6220961251,1.3992706647,-17.4231435524,0.168126882,3.0234357209,0.0632165646,0.1151378307,0.0735,-0.0449028221
6.832,-19.6399738826,1.4842218477,-17.1816196709,0.1803847997,2.8958299195,0.0573667035,0.115137821,0.0735,-0.0449028083
6.84,-19.3893303878,1.6140027975,-16.8229865395,0.1747196796,2.84685862,0.0250643566,0.1151378112,0.0735,-0.0449027944
6.848,-19.665502596,1.676769617,-16.7263734724,0.1712394394,2.8804259923,0.0001519918,0.1151378014,0.0735,-0.0449027806
6.856,-20.8008208335,1.4671258161,-16.3669282738,0.2113822609,2.9928932345,-0.0303306239,0.1151377916,0.0735,-0.0449027668
6.864,-21.6743812334,1.2631258653,-16.2481302945,0.1925626928,3.095618809,0.000782553,0.1151377817,0.0735,-0.0449027531
6.872,-21.0704853386,1.9012167586,-16.2604825765,0.2783623411,3.0215910886,0.0136050661,0.1151377718,0.0735,-0.0449027393
6.88,-20.9828961787,0.7584496115,-16.4304865391,0.1595844556,3.0063211294,0.0248376197,0.1151377618,0.0735,-0.0449027257
6.888,-21.1336843718,1.4120944251,-16.3723899133,0.1918865513,3.0317623605,0.0476811825,0.1151377518,0.0735,-0.044902712
6.896,-20.2938129754,1.5151145237,-15.7024269231,0.2372797649,2.8978195198,-0.0189426486,0.1151377418,0.0735,-0.0449026983
6.904,-18.4387717558,0.3756112669,-14.5678296978,0.1700359556,2.6491332995,-0.065231159,0.1151377317,0.0735,-0.0449026847
6.912,-18.9099167471,0.5147161989,-14.8850606713,0.1672518776,2.7347271692,-0.0417453849,0.1151377216,0.0735,-0.0449026712
6.92,-20.6850582979,-0.4729020066,-14.2728232204,0.0310735042,2.8939481126,0.043107089,0.1151377114,0.0735,-0.0449026576
6.928,-22.4932599864,-0.8085393311,-14.6954988548,-0.0180222012,3.1627515957,0.1943540242,0.1151377012,0.0735,-0.0449026441
6.936,-22.4604107178,-0.9269680929,-13.9804012496,-0.0162387336,3.064149824,0.1984062778,0.115137691,0.0735,-0.0449026306
6.944,-21.1422869701,-1.6438970728,-13.8417079069,-0.0703897355,2.94911431,0.1897564823,0.1151376807,0.0735,-0.0449026171
6.952,-21.2801120343,-1.4493999051,-13.9181145161,-0.0903946775,2.9639483739,0.2465697873,0.1151376704,0.0735,-0.0449026037
6.96,-21.034540023,-2.1601223569,-14.7773562801,-0.2296582814,2.9532680462,0.2502397815,0.1151376601,0.0735,-0.0449025903
6.968,-21.2390989357,-1.5576183616,-14.9434713178,-0.1518515706,3.0064737638,0.2357914795,0.1151376497,0.0735,-0.0449025769
6.976,-20.4053854434,-1.0020105023,-14.6761876949,-0.0796977314,2.8853658721,0.2569337982,0.1151376392,0.0735,-0.0449025636
6.984,-21.0850780029,-0.7478918781,-14.998280579,-0.021439062,2.9896267196,0.2045469165,0.1151376288,0.0735,-0.0449025503
6.992,-20.2998681606,-0.5697847486,-15.1006383923,0.0064654486,2.919214428,0.1977942516,0.1151376183,0.0735,-0.044902537
7,-20.5874901749,-1.500415759,-16.6736793689,-0.1649619316,2.8206293208,0.2752926523,0.1151376077,0.0735,-0.0449025237
7.008,-24.164450913,1.0658461966,-15.0339565154,0.240443528,3.3499108602,0.2649679445,0.1151375971,0.0735,-0.0449025105
7.016,-21.8029242804,1.5955730405,-13.2185429949,0.2889939416,2.9363762261,0.3198787877,0.1151375865,0.0735,-0.0449024973
7.024,-21.5435645818,1.1476095973,-13.5910258548,0.2230152901,2.9605554848,0.3829932796,0.1151375759,0.0735,-0.0449024841
7.032,-18.2100009197,1.5514950339,-13.014288815,0.2348182198,2.4912170542,0.3163526537,0.1151375652,0.0735,-0.044902471
7.04,-16.7936879906,3.2777722959,-13.790705179,0.464945837,2.3711947722,0.2756441977,0.1151375544,0.0735,-0.0449024579
7.048,-17.102898458,2.6400202295,-13.9742839654,0.3588264463,2.428399639,0.2297454174,0.1151375437,0.0735,-0.0449024448
7.056,-16.8640907717,2.3730270118,-14.8032414262,0.2769237147,2.4666884026,0.1350380085,0.1151375329,0.0735,-0.0449024318
7.064,-15.5931588928,2.5698428814,-15.7054288344,0.29663947,2.4046671592,0.035993526,0.115137522,0.0735,-0.0449024188
7.072,-17.36685775,1.818354213,-17.0945721162,0.1825968656,2.7039413785,0.0329013652,0.1151375111,0.0735,-0.0449024058
7.08,-15.8149599178,0.9482058448,-15.8056390771,0.0942417887,2.4581262534,-0.0285094882,0.1151375002,0.0735,-0.0449023929
7.088,-15.4579512596,0.8223761764,-15.8890248435,0.084048517,2.4118459461,-0.0333364822,0.1151374892,0.0735,-0.04490238
7.096,-14.5532075081,-0.2597729352,-15.9609202861,-0.0477225492,2.3182873325,-0.0546587791,0.1151374783,0.0735,-0.0449023671
7.104,-16.4448815478,-1.8943494352,-16.3907882106,-0.2043692197,2.5415066321,-0.1184689283,0.1151374672,0.0735,-0.0449023542
7.112,-16.8093141997,-2.5947181358,-16.4039233472,-0.2580743486,2.5826476159,-0.1288942424,0.1151374562,0.0735,-0.0449023414
7.12,-18.9560667861,-2.5631980418,-15.8960131495,-0.2535460251,2.8340453732,-0.0651791052,0.115137445,0.0735,-0.0449023286
7.128,-20.1414539178,-1.9434451907,-15.4635614359,-0.1638257842,2.9175665492,-0.0507805548,0.1151374339,0.0735,-0.0449023159
7.136,-19.7058451417,-1.7011303024,-14.5518515704,-0.1281815561,2.7742538172,-0.0064265733,0.1151374227,0.0735,-0.0449023031
7.144,-22.0664818558,-2.2103864584,-15.7309404568,-0.1592004851,3.0882145605,-0.0237790091,0.1151374115,0.0735,-0.0449022904
7.152,-20.1560056285,-1.8439611488,-14.2657538725,-0.1703175957,2.7775386489,-0.0006620656,0.1151374003,0.0735,-0.0449022778
7.16,-19.6941479853,-0.5924153775,-13.8565581512,0.0040329035,2.7085474647,0.0065267198,0.115137389,0.0735,-0.0449022652
7.168,-17.3004813792,0.2350191661,-13.0712549955,0.0954965387,2.4225215995,0.0081506636,0.1151373777,0.0735,-0.0449022526
7.176,-16.6605601305,0.4660822236,-12.6411565334,0.1277108498,2.3536000505,-0.0098804052,0.1151373663,0.0735,-0.04490224
7.184,-19.3680924071,1.0113113796,-13.4831838709,0.1794948638,2.7151371654,-0.0286282985,0.1151373549,0.0735,-0.0449022275
7.192,-18.4998147711,0.2052460895,-13.0554782825,0.0885171358,2.5855162682,-0.0987269793,0.1151373435,0.0735,-0.044902215
7.2,-17.8560093891,-3.8469687549,-13.5325636733,-0.3086852841,2.5092513469,-0.2400666187,0.115137332,0.0735,-0.0449022025
7.208,-17.3002191302,-4.6588654691,-13.5803225196,-0.4255175725,2.4346584055,-0.1863711043,0.1151373205,0.0735,-0.0449021901
7.216,-17.306639807,-4.6247132949,-13.903860583,-0.4218418264,2.4608724366,-0.1675328635,0.115137309,0.0735,-0.0449021777
7.224,-16.2025937707,-3.7008014223,-12.8884276487,-0.3456624779,2.2514140175,-0.1048374339,0.1151372974,0.0735,-0.0449021653
7.232,-15.9078859285,-2.9302994076,-12.4843435888,-0.267544782,2.2113003069,-0.0919260982,0.1151372858,0.0735,-0.044902153
7.24,-16.9226403299,-2.7202814764,-13.1633998491,-0.2248124141,2.3438925413,-0.0745998098,0.1151372741,0.0735,-0.0449021407
7.248,-16.8588905175,-2.4160270157,-13.1294193368,-0.2088090775,2.3349324555,-0.0813103097,0.1151372624,0.0735,-0.0449021284
7.256,-16.6130377023,-0.9085245525,-13.189906604,-0.0561573694,2.3153956568,-0.0093103882,0.1151372507,0.0735,-0.0449021162
7.264,-18.9799454119,-0.9109256321,-13.1858820254,-0.0389423589,2.5850268732,-0.0777960495,0.115137239,0.0735,-0.044902104
7.272,-16.2297908029,-0.7095716514,-13.4065661399,-0.0266781941,2.2831807597,-0.0560127318,0.1151372272,0.0735,-0.0449020918
7.28,-15.7774152096,-1.4396467057,-14.7027101336,-0.0886202083,2.347635878,-0.1366047526,0.1151372154,0.0735,-0.0449020797
7.288,-16.7039949624,-1.0918685056,-14.2901867882,-0.0337547819,2.4163706706,-0.1366508858,0.1151372035,0.0735,-0.0449020676
7.296,-16.9599708312,-0.3457628675,-13.4710081801,0.0545926646,2.4001250855,-0.102093264,0.1151371916,0.0735,-0.0449020556
7.304,-17.6931234795,-0.4749993545,-13.4999366822,0.0215892914,2.4585038067,-0.13036801,0.1151371797,0.0735,-0.0449020435
7.312,-16.6519067647,0.2453516815,-13.5890578585,0.1770050262,2.3900365853,-0.1673935027,0.1151371677,0.0735,-0.0449020315
7.32,-16.8649698252,0.8034080536,-13.798182838,0.2058672467,2.4172276908,-0.2413913724,0.1151371557,0.0735,-0.0449020196
7.328,-15.6398952426,0.9855058105,-15.0620076641,0.1843774914,2.3832545186,-0.2524268708,0.1151371437,0.0735,-0.0449020077
7.336,-14.5758898531,1.9339133397,-16.0518228623,0.2744038592,2.3315607465,-0.2019491633,0.1151371317,0.0735,-0.0449019958
7.344,-12.7217813603,1.3147049127,-15.6413090362,0.2193279326,2.1473082058,-0.2307372261,0.1151371196,0.0735,-0.0449019839
7.352,-12.2423381654,2.0012737707,-15.6342564445,0.275800022,2.1141709308,-0.2094907037,0.1151371074,0.0735,-0.0449019721
7.36,-11.9855013863,2.734747033,-15.88975562,0.3636935398,2.0937162003,-0.143435556,0.1151370953,0.0735,-0.0449019603
7.368,-11.9508856191,2.1585046572,-15.2730129841,0.3017037037,2.0559284185,-0.1897993924,0.1151370831,0.0735,-0.0449019486
7.376,-11.4908758538,2.0307200761,-15.3430634118,0.314720313,2.0060445595,-0.2356619515,0.1151370708,0.0735,-0.0449019369
7.384,-11.1590716864,1.4232057562,-15.304116448,0.2637807172,1.9591122997,-0.184727374,0.1151370586,0.0735,-0.0449019252
7.392,-10.6989436066,0.8095515688,-14.9844024376,0.2176810964,1.8730457541,-0.2232831547,0.1151370463,0.0735,-0.0449019135
7.4,-10.4503586208,1.0413027708,-15.5200055669,0.1841563133,1.8728352945,-0.2050858949,0.1151370339,0.0735,-0.0449019019
7.408,-10.3855928344,0.6767685059,-15.206376985,0.166587335,1.827099022,-0.1835528377,0.1151370216,0.0735,-0.0449018904
7.416,-10.5514958335,1.4733530321,-17.0205952461,0.2502437896,1.9424911981,-0.108550606,0.1151370092,0.0735,-0.0449018788
7.424,-10.4794209433,0.4231682641,-15.7964208673,0.1415827399,1.8536238828,-0.1060767211,0.1151369967,0.0735,-0.0449018673
7.432,-9.7067301695,-0.0911237378,-15.6516402922,0.0587825713,1.8048501537,-0.110433056,0.1151369843,0.0735,-0.0449018559
7.44,-10.2768301456,-0.5134468951,-15.4685404336,-0.0142120412,1.8116951797,-0.04826801,0.1151369718,0.0735,-0.0449018444
7.448,-9.9172742222,-0.6671241238,-15.1517648239,-0.008866227,1.7604528969,-0.1075032452,0.1151369592,0.0735,-0.044901833
7.456,-8.4185775589,-0.7926880424,-14.0086828126,-0.0278191915,1.5612706247,-0.0886809375,0.1151369467,0.0735,-0.0449018217
7.464,-8.7974054239,-0.4386044806,-14.2705498674,0.01754683,1.6028072655,-0.1032354483,0.1151369341,0.0735,-0.0449018104
7.472,-9.2572532729,0.214272287,-14.4328719723,0.0697467024,1.6784980737,-0.0874554117,0.1151369215,0.0735,-0.0449017991
