"Points:0","Points:1","Points:2"
0.02377,0.037933,-0.14735
0.022133,0.041223,-0.14639
0.071532,0.1354,-0.11031
0.07191,0.13323,-0.11224
0.071493,0.13548,-0.11443
0.033333,1.3842e-09,-0.083229
0.037507,2.7763e-10,-0.083251
0.035046,-2.9044e-09,-0.080083
0.031195,0.005,-0.093733
0.027113,0.005,-0.09364
0.029228,0.005,-0.090157
0.0089417,0.0065292,-0.081463
0.0081132,0.005,-0.081745
0.0059824,0.0067723,-0.082758
0.056334,0.13293,-0.17466
0.05674,0.13296,-0.17815
0.058792,0.13295,-0.17763
0.070096,0.040765,-0.17463
0.070012,0.036687,-0.17468
0.069989,0.037953,-0.17558
0.019865,0.012471,-0.079709
0.019824,0.0083432,-0.07971
0.018647,0.009592,-0.079797
0.054106,2.8748e-05,-0.17114
0.056253,0.00017948,-0.17463
0.058292,3.2196e-05,-0.17148
-0.01084,0.1327,-0.11302
-0.010683,0.13109,-0.11405
-0.010152,0.1327,-0.11689
0.00056722,0.10409,-0.086153
0.0030667,0.10409,-0.084267
0.0018365,0.10138,-0.085245
0.074031,0.01001,-0.080938
0.072729,0.012551,-0.08093
0.074945,0.012233,-0.080897
0.044114,0.10831,-0.045914
0.041914,0.10602,-0.047217
0.044148,0.10491,-0.045908
0.012012,0.13768,-0.078158
0.01387,0.13765,-0.074887
0.015992,0.13771,-0.078378
0.070426,0.13335,-0.17424
0.070052,0.13324,-0.17074
0.06957,0.13305,-0.17291
-0.0081312,0.079659,-0.097045
-0.0066212,0.079659,-0.094314
-0.0075126,0.076945,-0.095606
0.041661,0.056549,-0.047322
0.038838,0.056526,-0.049085
0.040174,0.053565,-0.048264
0.07716,0.010132,-0.079944
0.07716,0.012425,-0.081024
0.077413,0.011992,-0.079365
0.0049631,0.1327,-0.089606
0.0067057,0.1327,-0.093172
0.0087434,0.1327,-0.089689
0.023028,1.1196e-10,-0.093545
0.021072,1.3026e-10,-0.089952
0.018943,-8.0352e-11,-0.093455
0.077951,0.066464,-0.048353
0.077864,0.064458,-0.046843
0.078021,0.06352,-0.049633
0.019525,0.022648,-0.061896
0.016559,0.022648,-0.063861
0.018042,0.019566,-0.062878
0.040658,0.1327,-0.047898
0.039411,0.13492,-0.049037
0.037427,0.1327,-0.050038
0.022383,0.11303,-0.079786
0.01954,0.11295,-0.079716
0.021174,0.11566,-0.079771
0.032873,0.075028,-0.053055
0.029907,0.075028,-0.05502
0.03139,0.071947,-0.054037
0.058103,0.056754,-0.08059
0.05981,0.059713,-0.080628
0.061517,0.056755,-0.080667
0.019164,0.0083009,-0.14464
0.02244,0.0082998,-0.14657
0.020437,0.011645,-0.14539
-0.019029,0.0027893,-0.099288
-0.018927,0.004695,-0.097294
-0.01852,0.0020498,-0.096685
0.070426,0.0043491,-0.17424
0.070373,0.0022126,-0.1761
0.0018466,0.12433,-0.14605
0.0035124,0.1277,-0.14704
0.0052135,0.12433,-0.14804
0.028926,0.005,-0.064264
0.030947,0.005,-0.067963
0.033131,0.005,-0.06433
0.044133,0.0090048,-0.045844
0.047322,0.0094616,-0.04589
0.045916,0.011918,-0.045929
-0.0040997,0.005,-0.12471
-0.0051784,0.005,-0.1275
-0.0072965,0.005,-0.12419
0.051452,0.12671,-0.16366
0.048153,0.1267,-0.16172
0.049977,0.12349,-0.16279
0.044171,0.052606,-0.04588
0.045918,0.055342,-0.045923
0.044197,0.057083,-0.045858
0.063277,0.04868,-0.1824
0.065071,0.052086,-0.18349
0.066732,0.048665,-0.18432
0.070717,0.13741,-0.094662
0.067653,0.13763,-0.094572
0.069823,0.1375,-0.091426
0.066141,0.0577,-0.17232
0.063081,0.05767,-0.1705
0.06464,0.05438,-0.17144
0.033843,0.005,-0.15032
0.033526,0.005,-0.1531
0.030188,0.005,-0.15113
0.018945,0.005,-0.093454
0.014861,0.005,-0.09336
0.016978,0.005,-0.08986
0.075975,0.1327,-0.050394
0.073251,0.1327,-0.047856
0.071489,0.1327,-0.04997
0.070043,0.010628,-0.17642
0.070194,0.0079667,-0.17751
0.070122,0.010562,-0.17922
-0.0029231,0.036224,-0.089283
-0.00063596,0.036224,-0.087149
-0.0017899,0.033509,-0.088204
0.061147,0.00013822,-0.047992
0.063151,4.022e-05,-0.050332
0.063374,-5.6438e-05,-0.04652
-0.0035898,0.079661,-0.12924
-0.0055281,0.079659,-0.12678
-0.0046226,0.076944,-0.12806
0.049569,0.13769,-0.16427
0.053489,0.1377,-0.16466
0.05191,0.13768,-0.16764
0.0058072,0.12038,-0.082742
0.0087325,0.12038,-0.081624
0.0072811,0.11767,-0.082198
-0.0065777,0.10276,-0.079186
-0.0057612,0.10609,-0.078645
-0.0078052,0.10477,-0.079999
0.041451,0.1377,-0.1637
0.039567,0.13752,-0.16623
0.037502,0.1376,-0.16303
0.018608,0.058647,-0.07976
0.016384,0.057902,-0.079919
0.017682,0.06056,-0.079807
0.044167,0.085126,-0.045891
0.042865,0.083928,-0.046667
0.044113,0.080605,-0.045867
0.077905,0.039126,-0.060655
0.077941,0.041836,-0.059092
0.077976,0.039126,-0.057528
0.0040924,0.1327,-0.11789
0.0060474,0.1327,-0.12147
0.0081683,0.1327,-0.11799
-0.0047162,0.017221,-0.12812
-0.0025782,0.017209,-0.13043
-0.0036136,0.019937,-0.12925
0.039509,4.9345e-11,-0.086856
0.041471,1.9032e-10,-0.08345
0.077254,0.095108,-0.080076
0.077184,0.096465,-0.080732
0.077432,0.096091,-0.078095
0.059861,0.11746,-0.18039
0.061554,0.1209,-0.18139
0.063222,0.11747,-0.18237
0.041028,0.021254,-0.080202
0.042735,0.024213,-0.080241
0.044443,0.021254,-0.08028
0.056988,0.13737,-0.047835
0.054729,0.1376,-0.049656
0.055338,0.13743,-0.046333
0.03932,0.095212,-0.080163
0.037613,0.092254,-0.080125
0.035905,0.095212,-0.080086
0.055335,0.005,-0.046018
0.057691,0.0027288,-0.046042
0.05915,0.005,-0.046104
0.006884,0.11402,-0.14903
0.0051411,0.11058,-0.148
0.0035046,0.11407,-0.14703
0.056396,0.089295,-0.080551
0.054688,0.086337,-0.080512
0.052981,0.089295,-0.080473
0.039591,0.005,-0.060834
0.037547,0.005,-0.057014
0.035342,0.005,-0.060706
0.07786,0.033125,-0.04651
0.076026,0.034064,-0.046679
0.075058,0.031055,-0.046612
0.005017,0.005,-0.081261
0.0076227,0.005,-0.07867
0.0091294,0.12021,-0.13872
0.0059943,0.12015,-0.13687
0.0073014,0.11683,-0.13765
0.06262,0.10146,-0.046183
0.059495,0.10146,-0.046112
0.061057,0.098756,-0.046148
0.05645,0.062426,-0.17837
0.054742,0.058986,-0.17736
0.053033,0.062426,-0.17635
0.063273,0.13768,-0.12278
0.059152,0.1377,-0.12269
0.061278,0.13769,-0.11919
0.054869,0.067547,-0.16567
0.058143,0.067547,-0.1676
0.056506,0.070837,-0.16664
0.04107,0.079625,-0.16927
0.042779,0.083064,-0.17028
0.044488,0.079625,-0.17129
0.036765,0.1377,-0.11863
0.04085,0.1377,-0.11873
0.038727,0.1377,-0.12222
0.071161,0.00437,-0.13933
0.069775,0.0045606,-0.13768
0.070896,0.0044656,-0.13566
0.045049,0.074128,-0.15989
0.041775,0.074128,-0.15796
0.043412,0.070837,-0.15892
0.039049,1.4905e-10,-0.10807
0.041011,1.7654e-10,-0.11165
0.043134,3.1429e-10,-0.10816
0.024527,0.1327,-0.064097
0.023169,0.1327,-0.061204
0.021075,0.1327,-0.064152
-0.0096515,0.030794,-0.11841
-0.010405,0.030794,-0.11537
-0.010157,0.02808,-0.11692
0.020472,0.1327,-0.077952
0.016154,0.1327,-0.078254
0.019657,0.1327,-0.079717
0.070097,0.082089,-0.17762
0.070143,0.079745,-0.17912
0.070137,0.082206,-0.18059
0.025689,0.11746,-0.16016
0.02398,0.11402,-0.15915
0.022271,0.11746,-0.15814
-0.010749,0.076945,-0.11384
-0.010043,0.076945,-0.11689
-0.010379,0.079659,-0.11537
0.0096558,3.3217e-05,-0.074977
0.0079466,0.00039588,-0.072044
0.0053814,0.00037174,-0.074869
-0.0085439,0.095947,-0.12132
-0.0096315,0.095947,-0.11839
-0.0091362,0.093233,-0.11988
-0.0018685,0.049797,-0.088123
